DATE,SAHMREALTIME,T10YIE,GEPUCURRENT,NFCI,^MOVE,^SKEW,USD_Log_Ret_1M
2025-03-31,0.27,2.38,468.84279693223056,-0.411,101.3499984741211,148.5800018310547,-0.012337992017248159
2025-04-30,0.27,2.23,623.3520453984211,-0.393,112.4800033569336,132.72999572753906,-0.03301869629202057
2025-05-31,0.27,2.34,511.6903036177236,-0.467,92.11000061035156,138.25,-0.006749916669522782
2025-06-30,0.17,2.29,368.5934566761253,-0.497,90.26000213623047,139.64999389648438,-0.01955976747709541
2025-07-31,0.1,2.39,406.8875697805016,-0.519,79.83999633789062,152.2899932861328,0.019178640486555754
2025-08-31,0.13,2.41,343.339059719265,-0.528,79.38999938964844,152.10000610351562,-0.012506301163558874
2025-09-30,0.23,2.36,308.47823098184006,-0.526,77.93000030517578,143.44000244140625,-0.0005941459327252102
2025-10-31,0.23,2.3,404.87305248366016,-0.513,66.61000061035156,142.77999877929688,0.010343633429287562
2025-11-30,0.43,2.23,371.0953517257944,-0.508,68.94999694824219,143.0,-0.002748738936727486
2025-12-31,0.35,2.25,371.0953517257944,-0.535,63.959999084472656,148.6999969482422,-0.010856495567087395
2026-01-31,0.3,2.36,371.0953517257944,-0.559,59.20000076293945,143.64999389648438,-0.01553607756905751
2026-02-28,0.27,2.25,371.0953517257944,-0.503,73.37999725341797,146.6699981689453,-0.0006558576252006263
2026-03-31,0.2,2.3,371.0953517257944,-0.451,96.05000305175781,145.4499969482422,0.026902202761892893
2026-04-30,0.13,2.46,371.0953517257944,-0.494,72.06999969482422,143.3300018310547,-0.019724801597450263
2026-05-31,0.13,2.48,371.0953517257944,-0.509,72.06999969482422,143.3300018310547,-0.0023487378744304313
